Location,Lat,Lon,p,e
"Yeading	Hillingdon	London",51.527667,-0.396949,4880,40180
"Yiewsley	Hillingdon	London",51.511703,-0.472012,5460,39100
"Bedfont	Hounslow	London",51.453461,-0.437216,5020,40040
"Brentford	Hounslow	London",51.486073,-0.310117,6240,44100
"Chiswick Homefields	Hounslow	London",51.491609,-0.250101,4880,68670
"Chiswick Riverside	Hounslow	London",51.458948,-0.308818,5190,65260
"Cranford	Hounslow	London",51.47843,-0.410194,4170,38790
"Feltham North	Hounslow	London",51.444148,-0.410772,4290,41270
"Feltham West	Hounslow	London",51.444148,-0.410772,5800,42760
"Hanworth	Hounslow	London",51.448948,-0.382927,4620,39140
"Hanworth Park	Hounslow	London",51.436847,-0.397886,4640,43190
"Heston Central	Hounslow	London",51.490313,-0.274665,3960,42200
"Heston East	Hounslow	London",51.485355,-0.371615,4120,42790
"Heston West	Hounslow	London",51.485355,-0.371615,4080,37120
"Hounslow Central	Hounslow	London",51.47117,-0.366804,5530,45140
"Hounslow Heath	Hounslow	London",51.462704,-0.387407,4970,40870
"Hounslow South	Hounslow	London",51.460922,-0.373149,4070,50720
"Hounslow West	Hounslow	London",51.469435,-0.383771,4370,40060
"Isleworth	Hounslow	London",51.467121,-0.329003,4960,43770
"Osterley and Spring Grove	Hounslow	London",51.480041,-0.343316,4870,53890
"Syon	Hounslow	London",51.479157,-0.321031,6000,46760
"Turnham Green	Hounslow	London",51.49203,-0.266317,5380,61230
"Barnsbury	Islington	London",51.540356,-0.118345,5840,62770
"Bunhill	Islington	London",51.523078,-0.089828,8400,54080
"Caledonian	Islington	London",51.543416,-0.117476,6410,49320
"Canonbury	Islington	London",51.543465,-0.094442,5860,56130
"Clerkenwell	Islington	London",51.52276,-0.103842,6870,60270
"Finsbury Park	Islington	London",51.563296,-0.107435,6900,46290
"Highbury East	Islington	London",51.550391,-0.100775,5480,67250
"Highbury West	Islington	London",51.549897,-0.098063,7360,60960
"Hillrise	Islington	London",51.572144,-0.124421,5100,53930
"Holloway	Islington	London",51.557017,-0.115522,7260,48760
"Junction	Islington	London",51.56141,-0.136811,5980,54490
"Mildmay	Islington	London",51.548982,-0.079761,6180,54230
"St. George's	Islington	London",51.550851,-0.127312,5660,56520
"St. Mary's	Islington	London",51.545439,-0.098351,5910,64670
"St. Peter's	Islington	London",51.534783,-0.098709,5900,61060
"Tollington	Islington	London",51.557249,-0.114259,6270,52490
"Abingdon	Kensington and Chelsea	London",51.498101,-0.196306,5210,113950
"Brompton	Kensington and Chelsea	London",51.495506,-0.174254,5930,139710
"Campden	Kensington and Chelsea	London",51.50101,-0.193279,4490,143000
"Colville	Kensington and Chelsea	London",51.516111,-0.203962,4550,87080
"Courtfield	Kensington and Chelsea	London",51.49227,-0.188847,5420,132770
"Cremorne	Kensington and Chelsea	London",51.480156,-0.179249,4240,87900
"Earl's Court	Kensington and Chelsea	London",51.49034,-0.195862,5260,88300
"Golborne	Kensington and Chelsea	London",51.522629,-0.207378,4450,59110
"Hans Town	Kensington and Chelsea	London",51.485093,-0.174936,6370,122800
"Holland	Kensington and Chelsea	London",51.500611,-0.21127,4910,114140
"Norland	Kensington and Chelsea	London",51.50655,-0.209771,4260,110760
"Notting Barns	Kensington and Chelsea	London",51.523658,-0.219194,4240,72150
"Pembridge	Kensington and Chelsea	London",51.509876,-0.197327,4170,116580
